ratio,all,keyword
0.8,10,特朗普
0.9,10,克林顿
0.2,10,习近平
0.1,10,朱镕基
0.5833333333333334,12,戴森吹风机
0.6,10,外卖小哥11家公司
0.2,10,甲骨文薪酬歧视
0.5,10,包贝尔小品被毙
0.8888888888888888,9,中国著名大学
0.4,10,北京人均收入
0.4,10,上海人均收入
0.6,10,深圳人均收入
0.5,10,牲畜
0.3,10,妓女
0.9,10,奴隶
1.0,10,米格战斗机
